Identifiant,Âge,Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Années d'expérience,Possession de biens,Région,Type de contrat,Langue maternelle,Revenu annuel (DH),Âge doublé,Revenu approximatif,Code aléatoire
19464,58,Femme,,,Urbain,Groupe 3,39,Terrain,Marrakech-Safi,sans contrat,,,116,,Y456
26284,58,Homme,,,Urbain,Groupe 3,18,Aucun,L’Oriental,sans contrat,,,116,,W000
36217,63,Femme,,,Rural,Groupe 1,33,Terrain,Rabat-Salé-Kénitra,CDI,,,126,,Z789
17408,27,Homme,,,Urbain,Groupe 1,0,Aucun,Guelmim-Oued Noun,sans contrat,,,54,,Z789
10920,66,Femme,,,Rural,Groupe 5,1,Terrain,Casablanca-Settat,CDD,,,132,,Z789
30867,25,Femme,,,Rural,Groupe 4,32,Terrain,Casablanca-Settat,CDI,,,50,,Z789
34437,64,Femme,,,Rural,Groupe 2,10,Aucun,Béni Mellal-Khénifra,CDI,,,128,,X123
12702,47,Femme,,,Urbain,Groupe 5,14,Logement,Casablanca-Settat,sans contrat,,,94,,Y456
35677,53,Femme,,,Rural,Groupe 1,22,Voiture,Souss-Massa,sans contrat,,,106,,X123
34090,63,Homme,,,Urbain,Groupe 5,2,Terrain,Laâyoune-Sakia El Hamra,sans contrat,,,126,,W000
21262,59,Homme,,,Urbain,Groupe 5,28,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,,,118,,X123
26174,52,Femme,,,Urbain,Groupe 4,30,Aucun,Dakhla-Oued Ed-Dahab,sans contrat,,,104,,Z789
28284,49,Homme,,,Urbain,Groupe 3,17,Voiture,Dakhla-Oued Ed-Dahab,sans contrat,,,98,,X123
37267,49,Homme,,,Urbain,Groupe 5,25,Logement,Dakhla-Oued Ed-Dahab,CDI,,,98,,X123
32507,34,Homme,,,Rural,Groupe 2,31,Logement,L’Oriental,CDD,,,68,,X123
33382,34,Femme,,,Rural,Groupe 4,27,Aucun,Béni Mellal-Khénifra,CDD,,,68,,Z789
39381,39,Homme,,,Rural,Groupe 5,6,Terrain,Souss-Massa,CDD,,,78,,X123
20846,57,Femme,,,Urbain,Groupe 6,21,Aucun,Rabat-Salé-Kénitra,CDI,,,114,,W000
253,39,Homme,,,Rural,Groupe 3,47,Aucun,Béni Mellal-Khénifra,CDD,,,78,,X123
35120,56,Homme,,,Rural,Groupe 4,31,Logement,Drâa-Tafilalet,sans contrat,,,112,,Z789
3435,33,Femme,,,Rural,Groupe 4,16,Voiture,Marrakech-Safi,CDI,,,66,,W000
1279,66,Homme,,,Rural,Groupe 4,30,Voiture,Guelmim-Oued Noun,CDI,,,132,,X123
8286,28,Femme,,,Urbain,Groupe 1,13,Aucun,Béni Mellal-Khénifra,sans contrat,,,56,,X123
15216,37,Homme,,,Urbain,Groupe 1,45,Aucun,Souss-Massa,CDI,,,74,,Y456
2625,22,Homme,,,Rural,Groupe 2,33,Voiture,Guelmim-Oued Noun,sans contrat,,,44,,W000
3699,52,Femme,,,Urbain,Groupe 6,13,Voiture,Rabat-Salé-Kénitra,CDD,,,104,,Z789
6040,40,Femme,,,Urbain,Groupe 2,30,Voiture,Béni Mellal-Khénifra,CDI,,,80,,W000
4096,53,Femme,,,Rural,Groupe 5,5,Terrain,Marrakech-Safi,sans contrat,,,106,,X123
39575,44,Femme,,,Rural,Groupe 3,3,Terrain,Laâyoune-Sakia El Hamra,CDI,,,88,,Y456
14776,55,Homme,,,Rural,Groupe 2,30,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,,,110,,Z789
39975,46,Femme,,,Rural,Groupe 6,16,Logement,Rabat-Salé-Kénitra,sans contrat,,,92,,W000
14519,48,Homme,,,Urbain,Groupe 6,9,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,,,96,,Z789
315,66,Femme,,,Urbain,Groupe 5,11,Logement,Béni Mellal-Khénifra,sans contrat,,,132,,W000
5788,43,Homme,,,Urbain,Groupe 4,5,Voiture,Dakhla-Oued Ed-Dahab,CDD,,,86,,X123
10860,33,Homme,,,Rural,Groupe 3,37,Voiture,Marrakech-Safi,sans contrat,,,66,,Z789
20810,36,Femme,,,Urbain,Groupe 6,33,Voiture,Laâyoune-Sakia El Hamra,CDD,,,72,,Y456
22988,54,Homme,,,Rural,Groupe 4,9,Aucun,L’Oriental,CDI,,,108,,W000
27032,44,Femme,,,Rural,Groupe 2,49,Aucun,Souss-Massa,sans contrat,,,88,,Z789
14999,34,Femme,,,Urbain,Groupe 4,46,Terrain,Rabat-Salé-Kénitra,CDD,,,68,,Z789
38589,68,Femme,,,Rural,Groupe 4,1,Voiture,Béni Mellal-Khénifra,CDD,,,136,,W000
33053,20,Femme,,,Rural,Groupe 6,1,Voiture,Rabat-Salé-Kénitra,CDI,,,40,,Z789
27997,63,Femme,,,Urbain,Groupe 4,25,Aucun,Casablanca-Settat,sans contrat,,,126,,W000
28905,20,Homme,,,Urbain,Groupe 5,35,Voiture,Souss-Massa,CDI,,,40,,Z789
28178,52,Homme,,,Rural,Groupe 5,6,Aucun,Béni Mellal-Khénifra,CDD,,,104,,Y456
32863,51,Homme,,,Rural,Groupe 1,26,Voiture,L’Oriental,sans contrat,,,102,,Z789
35303,30,Homme,,,Urbain,Groupe 1,28,Voiture,Guelmim-Oued Noun,CDI,,,60,,X123
31371,65,Femme,,,Urbain,Groupe 1,1,Aucun,Casablanca-Settat,CDD,,,130,,Y456
22668,43,Homme,,,Urbain,Groupe 4,23,Terrain,Laâyoune-Sakia El Hamra,CDI,,,86,,X123
24534,46,Femme,,,Urbain,Groupe 3,1,Voiture,Béni Mellal-Khénifra,CDD,,,92,,Z789
1567,43,Femme,,,Urbain,Groupe 4,48,Voiture,Laâyoune-Sakia El Hamra,sans contrat,,,86,,Y456
12297,67,Homme,,,Rural,Groupe 4,22,Logement,Laâyoune-Sakia El Hamra,CDD,,,134,,Y456
34135,40,Homme,,,Urbain,Groupe 1,36,Terrain,Drâa-Tafilalet,sans contrat,,,80,,W000
16811,38,Femme,,,Rural,Groupe 6,14,Terrain,Laâyoune-Sakia El Hamra,sans contrat,,,76,,W000
14471,21,Homme,,,Urbain,Groupe 5,6,Terrain,L’Oriental,sans contrat,,,42,,Z789
27085,60,Femme,,,Urbain,Groupe 1,5,Logement,Tanger-Tétouan-Al Hoceïma,CDI,,,120,,Z789
21048,69,Femme,,,Rural,Groupe 4,32,Voiture,Dakhla-Oued Ed-Dahab,CDI,,,138,,Z789
36980,61,Homme,,,Urbain,Groupe 6,43,Voiture,Rabat-Salé-Kénitra,CDD,,,122,,W000
32735,54,Homme,,,Urbain,Groupe 2,37,Aucun,Marrakech-Safi,CDD,,,108,,X123
32799,50,Homme,,,Rural,Groupe 2,7,Logement,Rabat-Salé-Kénitra,CDI,,,100,,W000
22899,62,Homme,,,Urbain,Groupe 6,28,Aucun,Marrakech-Safi,CDD,,,124,,Y456
4860,33,Femme,,,Rural,Groupe 4,20,Terrain,Casablanca-Settat,CDD,,,66,,Y456
8649,18,Homme,,,Urbain,Groupe 1,46,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,,,36,,Y456
38407,40,Femme,,,Rural,Groupe 4,19,Aucun,Marrakech-Safi,sans contrat,,,80,,Z789
38976,67,Femme,,,Rural,Groupe 5,11,Logement,Laâyoune-Sakia El Hamra,sans contrat,,,134,,Z789
3720,59,Femme,,,Rural,Groupe 3,18,Logement,Marrakech-Safi,CDI,,,118,,W000
15281,39,Femme,,,Urbain,Groupe 2,40,Terrain,Guelmim-Oued Noun,CDD,,,78,,W000
13126,31,Homme,,,Rural,Groupe 4,4,Terrain,Souss-Massa,sans contrat,,,62,,Z789
24169,30,Femme,,,Urbain,Groupe 5,30,Voiture,Marrakech-Safi,CDI,,,60,,W000
31579,45,Femme,,,Rural,Groupe 4,13,Terrain,Guelmim-Oued Noun,CDD,,,90,,Z789
15147,65,Homme,,,Rural,Groupe 6,25,Aucun,Fès-Meknès,sans contrat,,,130,,Z789
31544,29,Homme,,,Rural,Groupe 6,7,Aucun,L’Oriental,CDI,,,58,,X123
25650,23,Femme,,,Urbain,Groupe 6,42,Terrain,Rabat-Salé-Kénitra,CDI,,,46,,W000
37864,52,Homme,,,Urbain,Groupe 1,49,Logement,Dakhla-Oued Ed-Dahab,CDD,,,104,,Y456
29170,21,Femme,,,Urbain,Groupe 5,33,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,,,42,,Z789
14076,47,Femme,,,Urbain,Groupe 4,0,Voiture,Béni Mellal-Khénifra,CDD,,,94,,Y456
20452,43,Homme,,,Urbain,Groupe 2,29,Logement,Guelmim-Oued Noun,sans contrat,,,86,,Z789
9537,20,Homme,,,Rural,Groupe 4,10,Voiture,Marrakech-Safi,sans contrat,,,40,,Z789
10643,43,Homme,,,Urbain,Groupe 3,37,Logement,L’Oriental,sans contrat,,,86,,X123
30746,43,Homme,,,Rural,Groupe 4,40,Voiture,Rabat-Salé-Kénitra,CDD,,,86,,W000
4751,51,Homme,,,Urbain,Groupe 5,43,Logement,Guelmim-Oued Noun,sans contrat,,,102,,W000
36514,40,Homme,,,Urbain,Groupe 1,43,Terrain,Casablanca-Settat,sans contrat,,,80,,W000
24788,41,Homme,,,Urbain,Groupe 6,15,Logement,Marrakech-Safi,sans contrat,,,82,,X123
7307,42,Femme,,,Rural,Groupe 5,32,Logement,Souss-Massa,CDI,,,84,,Z789
13144,38,Homme,,,Urbain,Groupe 6,38,Aucun,Drâa-Tafilalet,sans contrat,,,76,,Z789
27416,43,Homme,,,Urbain,Groupe 6,18,Logement,Fès-Meknès,CDI,,,86,,W000
25485,50,Homme,,,Urbain,Groupe 5,7,Voiture,Béni Mellal-Khénifra,CDD,,,100,,W000
1485,42,Femme,,,Urbain,Groupe 3,33,Aucun,Béni Mellal-Khénifra,sans contrat,,,84,,X123
35901,42,Homme,,,Urbain,Groupe 3,1,Terrain,Béni Mellal-Khénifra,CDD,,,84,,X123
13254,33,Femme,,,Urbain,Groupe 2,40,Terrain,Dakhla-Oued Ed-Dahab,CDI,,,66,,Z789
8892,32,Femme,,,Urbain,Groupe 3,28,Logement,Casablanca-Settat,sans contrat,,,64,,Z789
23164,68,Homme,,,Rural,Groupe 4,9,Terrain,Laâyoune-Sakia El Hamra,CDI,,,136,,Y456
8896,54,Homme,,,Rural,Groupe 5,43,Terrain,Dakhla-Oued Ed-Dahab,CDD,,,108,,Y456
26783,34,Femme,,,Urbain,Groupe 4,17,Aucun,L’Oriental,CDD,,,68,,X123
34570,19,Femme,,,Urbain,Groupe 4,16,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,,,38,,Z789
817,44,Femme,,,Rural,Groupe 6,30,Terrain,Marrakech-Safi,sans contrat,,,88,,W000
6402,53,Homme,,,Rural,Groupe 6,1,Aucun,L’Oriental,CDI,,,106,,W000
1465,52,Homme,,,Rural,Groupe 4,20,Aucun,Casablanca-Settat,sans contrat,,,104,,Y456
27810,41,Femme,,,Rural,Groupe 6,31,Voiture,Guelmim-Oued Noun,sans contrat,,,82,,W000
37678,58,Homme,,,Urbain,Groupe 4,5,Terrain,Drâa-Tafilalet,CDD,,,116,,Y456
6276,35,Homme,,,Urbain,Groupe 6,21,Logement,Fès-Meknès,CDD,,,70,,X123
28738,33,Homme,,,Rural,Groupe 6,38,Aucun,Guelmim-Oued Noun,CDD,,,66,,Z789
2508,26,Femme,,,Urbain,Groupe 5,1,Aucun,Guelmim-Oued Noun,CDI,,,52,,Z789
21747,64,Femme,,,Urbain,Groupe 2,19,Aucun,L’Oriental,CDD,,,128,,X123
34166,66,Homme,,,Urbain,Groupe 5,30,Aucun,Rabat-Salé-Kénitra,sans contrat,,,132,,Y456
11898,33,Femme,,,Urbain,Groupe 6,24,Voiture,Souss-Massa,CDD,,,66,,X123
4179,31,Homme,,,Urbain,Groupe 6,24,Terrain,Casablanca-Settat,CDI,,,62,,X123
28723,22,Femme,,,Urbain,Groupe 2,1,Voiture,Drâa-Tafilalet,CDI,,,44,,Z789
21803,49,Homme,,,Rural,Groupe 2,49,Aucun,Drâa-Tafilalet,sans contrat,,,98,,W000
23588,26,Homme,,,Rural,Groupe 2,10,Terrain,Guelmim-Oued Noun,sans contrat,,,52,,Z789
626,52,Homme,,,Rural,Groupe 4,44,Logement,Rabat-Salé-Kénitra,CDD,,,104,,Z789
19904,60,Femme,,,Urbain,Groupe 6,4,Logement,Béni Mellal-Khénifra,CDD,,,120,,W000
23139,65,Femme,,,Urbain,Groupe 4,39,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,130,,X123
26908,150,Homme,,,Urbain,Groupe 2,33,Logement,Souss-Massa,CDD,,,300,,W000
14858,27,Femme,,,Urbain,Groupe 6,3,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,54,,Y456
31836,27,Femme,,,Rural,Groupe 4,18,Logement,L’Oriental,sans contrat,,,54,,Z789
16368,38,Femme,,,Urbain,Groupe 4,19,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,,,76,,Y456
3706,66,Femme,,,Urbain,Groupe 3,31,Voiture,Drâa-Tafilalet,CDD,,,132,,W000
6225,45,Femme,,,Urbain,Groupe 6,44,Terrain,Drâa-Tafilalet,sans contrat,,,90,,X123
20857,63,Femme,,,Urbain,Groupe 4,33,Aucun,Casablanca-Settat,CDI,,,126,,Z789
35490,36,Homme,,,Rural,Groupe 1,5,Voiture,Marrakech-Safi,sans contrat,,,72,,Z789
4274,54,Homme,,,Urbain,Groupe 3,38,Voiture,Drâa-Tafilalet,sans contrat,,,108,,W000
16294,68,Homme,,,Urbain,Groupe 6,8,Logement,Guelmim-Oued Noun,sans contrat,,,136,,W000
39521,22,Homme,,,Urbain,Groupe 6,46,Voiture,Laâyoune-Sakia El Hamra,sans contrat,,,44,,W000
6893,61,Femme,,,Rural,Groupe 1,6,Aucun,Marrakech-Safi,CDD,,,122,,W000
28786,45,Femme,,,Urbain,Groupe 5,17,Terrain,Marrakech-Safi,CDI,,,90,,Z789
12620,45,Homme,,,Rural,Groupe 2,40,Aucun,Guelmim-Oued Noun,sans contrat,,,90,,W000
18637,66,Homme,,,Urbain,Groupe 2,12,Aucun,Guelmim-Oued Noun,CDI,,,132,,Y456
9802,33,Femme,,,Rural,Groupe 1,19,Logement,L’Oriental,CDI,,,66,,Z789
9837,43,Femme,,,Rural,Groupe 6,19,Terrain,Drâa-Tafilalet,CDD,,,86,,Z789
17163,67,Homme,,,Urbain,Groupe 1,20,Aucun,Souss-Massa,sans contrat,,,134,,W000
15396,30,Homme,,,Rural,Groupe 4,42,Logement,Souss-Massa,sans contrat,,,60,,W000
735,23,Femme,,,Urbain,Groupe 6,23,Logement,Dakhla-Oued Ed-Dahab,sans contrat,,,46,,W000
36024,47,Femme,,,Urbain,Groupe 2,41,Voiture,Laâyoune-Sakia El Hamra,CDD,,,94,,W000
20963,45,Homme,,,Rural,Groupe 5,47,Aucun,Dakhla-Oued Ed-Dahab,CDI,,,90,,Y456
32045,65,Femme,,,Urbain,Groupe 3,25,Logement,Souss-Massa,CDD,,,130,,X123
34195,49,Homme,,,Urbain,Groupe 5,0,Voiture,Laâyoune-Sakia El Hamra,CDD,,,98,,Y456
32371,26,Femme,,,Rural,Groupe 3,40,Logement,Guelmim-Oued Noun,sans contrat,,,52,,Y456
33014,64,Homme,,,Urbain,Groupe 5,25,Terrain,Béni Mellal-Khénifra,CDD,,,128,,Z789
19823,65,Femme,,,Urbain,Groupe 6,3,Aucun,Marrakech-Safi,sans contrat,,,130,,Y456
18530,32,Homme,,,Rural,Groupe 5,31,Terrain,Drâa-Tafilalet,sans contrat,,,64,,W000
8154,26,Femme,,,Rural,Groupe 6,43,Logement,Drâa-Tafilalet,CDI,,,52,,Z789
4742,38,Homme,,,Urbain,Groupe 5,33,Logement,Guelmim-Oued Noun,sans contrat,,,76,,W000
34383,19,Homme,,,Urbain,Groupe 4,8,Terrain,Fès-Meknès,CDI,,,38,,W000
38991,25,Homme,,,Rural,Groupe 4,34,Terrain,Guelmim-Oued Noun,sans contrat,,,50,,Z789
11855,27,Femme,,,Rural,Groupe 5,1,Aucun,Drâa-Tafilalet,CDI,,,54,,Y456
8477,33,Homme,,,Urbain,Groupe 6,24,Aucun,L’Oriental,CDI,,,66,,Y456
30442,51,Femme,,,Urbain,Groupe 5,4,Logement,Rabat-Salé-Kénitra,CDD,,,102,,W000
38328,53,Femme,,,Rural,Groupe 6,12,Logement,Béni Mellal-Khénifra,CDI,,,106,,Z789
6597,56,Femme,,,Rural,Groupe 4,8,Aucun,Casablanca-Settat,sans contrat,,,112,,W000
22992,53,Homme,,,Rural,Groupe 6,0,Aucun,Souss-Massa,sans contrat,,,106,,Y456
14804,23,Homme,,,Rural,Groupe 4,40,Terrain,Casablanca-Settat,sans contrat,,,46,,W000
5374,46,Homme,,,Urbain,Groupe 4,44,Aucun,Drâa-Tafilalet,sans contrat,,,92,,W000
25797,63,Femme,,,Rural,Groupe 4,7,Terrain,Guelmim-Oued Noun,CDI,,,126,,Y456
38262,40,Femme,,,Rural,Groupe 6,41,Terrain,Laâyoune-Sakia El Hamra,CDI,,,80,,Y456
34488,35,Femme,,,Rural,Groupe 6,28,Aucun,Casablanca-Settat,CDD,,,70,,Z789
36136,42,Femme,,,Urbain,Groupe 2,4,Voiture,Laâyoune-Sakia El Hamra,sans contrat,,,84,,W000
7482,62,Femme,,,Urbain,Groupe 4,34,Terrain,Béni Mellal-Khénifra,CDD,,,124,,Y456
15200,44,Femme,,,Urbain,Groupe 1,45,Aucun,Dakhla-Oued Ed-Dahab,sans contrat,,,88,,W000
30362,46,Femme,,,Rural,Groupe 2,15,Voiture,Marrakech-Safi,sans contrat,,,92,,W000
6522,29,Femme,,,Urbain,Groupe 4,41,Aucun,Guelmim-Oued Noun,CDD,,,58,,X123
15469,61,Femme,,,Urbain,Groupe 1,21,Voiture,Souss-Massa,CDD,,,122,,Z789
19592,30,Femme,,,Rural,Groupe 5,41,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,,,60,,Y456
32378,28,Femme,,,Urbain,Groupe 3,12,Voiture,Laâyoune-Sakia El Hamra,CDD,,,56,,X123
28681,55,Homme,,,Rural,Groupe 6,0,Logement,Souss-Massa,CDD,,,110,,X123
25457,23,Femme,,,Urbain,Groupe 4,13,Terrain,Guelmim-Oued Noun,sans contrat,,,46,,X123
35771,55,Homme,,,Urbain,Groupe 5,8,Logement,L’Oriental,CDI,,,110,,Y456
23097,27,Femme,,,Rural,Groupe 5,7,Voiture,Guelmim-Oued Noun,CDD,,,54,,W000
20819,24,Femme,,,Urbain,Groupe 5,29,Voiture,Drâa-Tafilalet,CDI,,,48,,W000
10081,51,Femme,,,Urbain,Groupe 6,20,Aucun,Souss-Massa,sans contrat,,,102,,W000
21152,20,Homme,,,Rural,Groupe 2,20,Aucun,Drâa-Tafilalet,CDD,,,40,,Z789
23660,31,Femme,,,Rural,Groupe 5,36,Terrain,Laâyoune-Sakia El Hamra,CDD,,,62,,Y456
33373,50,Femme,,,Urbain,Groupe 3,24,Voiture,Souss-Massa,CDI,,,100,,Z789
25950,66,Femme,,,Urbain,Groupe 2,7,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,132,,W000
18069,61,Femme,,,Urbain,Groupe 5,29,Logement,Fès-Meknès,CDI,,,122,,X123
38065,27,Homme,,,Urbain,Groupe 4,31,Voiture,Marrakech-Safi,CDD,,,54,,X123
23739,40,Femme,,,Rural,Groupe 5,41,Logement,Drâa-Tafilalet,CDD,,,80,,W000
21790,56,Femme,,,Urbain,Groupe 2,15,Voiture,Béni Mellal-Khénifra,CDD,,,112,,Y456
27297,66,Femme,,,Rural,Groupe 5,34,Aucun,Souss-Massa,CDI,,,132,,Z789
17048,57,Femme,,,Urbain,Groupe 2,49,Logement,Rabat-Salé-Kénitra,CDD,,,114,,Y456
36950,39,Homme,,,Rural,Groupe 2,39,Voiture,Béni Mellal-Khénifra,CDD,,,78,,X123
5526,38,Homme,,,Rural,Groupe 6,14,Logement,Guelmim-Oued Noun,CDI,,,76,,Z789
35930,46,Femme,,,Rural,Groupe 6,24,Terrain,L’Oriental,CDD,,,92,,W000
23531,48,Femme,,,Urbain,Groupe 6,39,Aucun,Souss-Massa,CDI,,,96,,Z789
9208,30,Homme,,,Urbain,Groupe 4,45,Logement,Marrakech-Safi,CDD,,,60,,W000
19175,35,Femme,,,Rural,Groupe 5,30,Voiture,L’Oriental,CDD,,,70,,W000
17177,46,Homme,,,Urbain,Groupe 4,19,Voiture,Laâyoune-Sakia El Hamra,sans contrat,,,92,,X123
32705,69,Homme,,,Rural,Groupe 4,5,Voiture,Béni Mellal-Khénifra,CDD,,,138,,Y456
13597,43,Femme,,,Urbain,Groupe 6,48,Aucun,Casablanca-Settat,CDI,,,86,,X123
21672,35,Homme,,,Urbain,Groupe 2,29,Logement,Tanger-Tétouan-Al Hoceïma,CDI,,,70,,W000
9313,56,Homme,,,Urbain,Groupe 5,45,Logement,Tanger-Tétouan-Al Hoceïma,CDI,,,112,,W000
31864,48,Homme,,,Rural,Groupe 3,2,Terrain,Rabat-Salé-Kénitra,CDI,,,96,,Y456
954,63,Homme,,,Urbain,Groupe 5,43,Aucun,Casablanca-Settat,sans contrat,,,126,,Y456
15687,31,Femme,,,Urbain,Groupe 1,11,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,62,,Z789
466,21,Femme,,,Urbain,Groupe 5,47,Voiture,Drâa-Tafilalet,sans contrat,,,42,,W000
19650,67,Femme,,,Urbain,Groupe 2,16,Voiture,Béni Mellal-Khénifra,sans contrat,,,134,,Y456
20298,48,Femme,,,Rural,Groupe 4,32,Aucun,Béni Mellal-Khénifra,CDI,,,96,,Z789
32490,51,Homme,,,Rural,Groupe 2,9,Logement,Béni Mellal-Khénifra,sans contrat,,,102,,Y456
21444,19,Homme,,,Urbain,Groupe 3,19,Voiture,L’Oriental,CDD,,,38,,Z789
34429,25,Femme,,,Rural,Groupe 5,46,Aucun,Casablanca-Settat,sans contrat,,,50,,Y456
30292,60,Homme,,,Urbain,Groupe 5,49,Voiture,Souss-Massa,sans contrat,,,120,,W000
39030,26,Homme,,,Urbain,Groupe 2,35,Voiture,L’Oriental,sans contrat,,,52,,X123
36575,31,Homme,,,Urbain,Groupe 2,17,Aucun,Drâa-Tafilalet,CDD,,,62,,X123
23733,66,Femme,,,Urbain,Groupe 6,36,Terrain,Marrakech-Safi,sans contrat,,,132,,X123
24824,46,Femme,,,Rural,Groupe 5,18,Terrain,Fès-Meknès,sans contrat,,,92,,X123
10027,41,Homme,,,Rural,Groupe 2,4,Terrain,Laâyoune-Sakia El Hamra,CDD,,,82,,W000
13963,21,Femme,,,Urbain,Groupe 4,2,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,,,42,,Y456
4057,55,Homme,,,Urbain,Groupe 6,9,Voiture,Casablanca-Settat,CDI,,,110,,Y456
30045,29,Femme,,,Urbain,Groupe 3,16,Voiture,Béni Mellal-Khénifra,CDI,,,58,,X123
28502,19,Femme,,,Urbain,Groupe 5,20,Voiture,Casablanca-Settat,sans contrat,,,38,,Z789
19238,38,Femme,,,Urbain,Groupe 6,3,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,76,,Y456
35522,25,Femme,,,Rural,Groupe 2,47,Logement,Drâa-Tafilalet,CDD,,,50,,Z789
11213,59,Homme,,,Rural,Groupe 4,29,Terrain,Béni Mellal-Khénifra,CDD,,,118,,W000
28233,24,Homme,,,Urbain,Groupe 4,19,Aucun,Drâa-Tafilalet,sans contrat,,,48,,X123
35915,50,Femme,,,Urbain,Groupe 2,32,Terrain,Rabat-Salé-Kénitra,sans contrat,,,100,,X123
25662,35,Femme,,,Rural,Groupe 2,12,Logement,Laâyoune-Sakia El Hamra,CDI,,,70,,W000
38733,42,Femme,,,Urbain,Groupe 6,23,Logement,Tanger-Tétouan-Al Hoceïma,CDD,,,84,,X123
3109,43,Femme,,,Rural,Groupe 6,49,Logement,Dakhla-Oued Ed-Dahab,sans contrat,,,86,,X123
29645,47,Femme,,,Rural,Groupe 4,0,Terrain,Béni Mellal-Khénifra,CDD,,,94,,Y456
11199,38,Homme,,,Rural,Groupe 1,49,Logement,Drâa-Tafilalet,CDI,,,76,,Y456
34601,64,Femme,,,Urbain,Groupe 4,25,Logement,Casablanca-Settat,CDI,,,128,,Y456
6551,44,Femme,,,Urbain,Groupe 1,12,Logement,Casablanca-Settat,CDI,,,88,,Y456
20005,18,Homme,,,Urbain,Groupe 6,6,Aucun,L’Oriental,CDI,,,36,,Z789
3439,47,Femme,,,Rural,Groupe 6,44,Voiture,Casablanca-Settat,sans contrat,,,94,,Y456
7432,68,Homme,,,Urbain,Groupe 4,22,Aucun,Dakhla-Oued Ed-Dahab,CDD,,,136,,W000
32586,63,Femme,,,Rural,Groupe 3,46,Terrain,L’Oriental,CDI,,,126,,X123
23982,20,Femme,,,Urbain,Groupe 6,35,Terrain,Laâyoune-Sakia El Hamra,sans contrat,,,40,,Z789
33118,53,Femme,,,Urbain,Groupe 5,15,Aucun,Guelmim-Oued Noun,sans contrat,,,106,,X123
19663,36,Femme,,,Urbain,Groupe 4,2,Aucun,Dakhla-Oued Ed-Dahab,sans contrat,,,72,,Y456
29714,60,Femme,,,Urbain,Groupe 4,40,Logement,Béni Mellal-Khénifra,CDD,,,120,,Y456
14122,31,Femme,,,Urbain,Groupe 5,5,Terrain,L’Oriental,sans contrat,,,62,,X123
5684,20,Femme,,,Urbain,Groupe 5,34,Aucun,Casablanca-Settat,CDI,,,40,,Y456
