Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,Urbain/Rural,Catégorie socioprofessionnelle,Langue maternelle,État matrimonial_divorcé,État matrimonial_marié,État matrimonial_veuf,Possession de biens_Logement,Possession de biens_Terrain,Possession de biens_Voiture,Région_Casablanca-Settat,Région_Dakhla-Oued Ed-Dahab,Région_Drâa-Tafilalet,Région_Fès-Meknès,Région_Guelmim-Oued Noun,Région_Laâyoune-Sakia El Hamra,Région_L’Oriental,Région_Marrakech-Safi,Région_Rabat-Salé-Kénitra,Région_Souss-Massa,Région_Tanger-Tétouan-Al Hoceïma,Type de contrat_CDI,Type de contrat_sans contrat
56.0,31.0,17416.0,1,0,0,3,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
33.0,16.0,17416.0,0,0,0,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
66.0,30.0,17416.0,1,0,0,3,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
28.0,13.0,17416.0,0,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
37.0,45.0,17416.0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
22.0,33.0,17416.0,1,0,0,1,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
52.0,13.0,17416.0,0,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
40.0,30.0,17416.0,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
53.0,5.0,17416.0,0,0,0,4,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
44.0,3.0,17416.0,0,0,0,2,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
55.0,30.0,17416.0,1,0,0,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
46.0,16.0,17416.0,0,0,0,5,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
48.0,9.0,17416.0,1,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
66.0,11.0,17416.0,0,0,1,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43.0,5.0,17416.0,1,0,1,3,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
33.0,37.0,17416.0,1,0,0,2,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
36.0,33.0,17416.0,0,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
54.0,9.0,17416.0,1,0,0,3,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
44.0,49.0,17416.0,0,0,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
34.0,46.0,17416.0,0,0,1,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
68.0,1.0,17416.0,0,0,0,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
20.0,1.0,17416.0,0,0,0,5,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
63.0,25.0,17416.0,0,0,1,3,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
20.0,35.0,17416.0,1,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
52.0,6.0,17416.0,1,0,0,4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51.0,26.0,17416.0,1,0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
30.0,28.0,17416.0,1,0,1,0,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
65.0,1.0,17416.0,0,0,1,0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
43.0,23.0,17416.0,1,0,1,3,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
46.0,1.0,17416.0,0,0,1,2,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,48.0,17416.0,0,0,1,3,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
67.0,22.0,17416.0,1,0,0,3,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
40.0,36.0,17416.0,1,0,1,0,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
38.0,14.0,17416.0,0,0,0,5,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
21.0,6.0,17416.0,1,0,1,4,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
60.0,5.0,17416.0,0,0,1,0,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
69.0,32.0,17416.0,0,0,0,3,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
61.0,43.0,17416.0,1,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
54.0,37.0,17416.0,1,0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
50.0,7.0,17416.0,1,0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
62.0,28.0,17416.0,1,0,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33.0,20.0,17416.0,0,0,0,3,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
18.0,46.0,17416.0,1,0,1,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
40.0,19.0,17416.0,0,0,0,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
67.0,11.0,17416.0,0,0,0,4,1,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
59.0,18.0,17416.0,0,0,0,2,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
39.0,40.0,17416.0,0,0,1,1,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
31.0,4.0,17416.0,1,0,0,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
30.0,30.0,17416.0,0,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
45.0,13.0,17416.0,0,0,0,3,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
65.0,25.0,17416.0,1,0,0,5,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
29.0,7.0,17416.0,1,0,0,5,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
23.0,42.0,17416.0,0,0,1,5,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
52.0,49.0,17416.0,1,0,1,0,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21.0,33.0,17416.0,0,0,1,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
47.0,0.0,17416.0,0,0,1,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,29.0,17416.0,1,0,1,1,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
20.0,10.0,17416.0,1,0,0,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
43.0,37.0,17416.0,1,0,1,2,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
43.0,40.0,17416.0,1,0,0,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
51.0,43.0,17416.0,1,0,1,4,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
40.0,43.0,17416.0,1,0,1,0,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
41.0,15.0,17416.0,1,0,1,5,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
42.0,32.0,17416.0,0,0,0,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
38.0,38.0,17416.0,1,0,1,5,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
43.0,18.0,17416.0,1,0,1,5,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
50.0,7.0,17416.0,1,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
42.0,33.0,17416.0,0,0,1,2,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
42.0,1.0,17416.0,1,0,1,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33.0,40.0,17416.0,0,0,1,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
32.0,28.0,17416.0,0,0,1,2,1,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
68.0,9.0,17416.0,1,0,0,3,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
54.0,43.0,17416.0,1,0,0,4,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
34.0,17.0,17416.0,0,0,1,3,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
19.0,16.0,17416.0,0,0,1,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
44.0,30.0,17416.0,0,0,0,5,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
53.0,1.0,17416.0,1,0,0,5,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
52.0,20.0,17416.0,1,0,0,3,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
41.0,31.0,17416.0,0,0,0,5,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
58.0,5.0,17416.0,1,0,1,3,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
35.0,21.0,17416.0,1,0,1,5,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
33.0,38.0,17416.0,1,0,0,5,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26.0,1.0,17416.0,0,0,1,4,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
64.0,19.0,17416.0,0,0,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
66.0,30.0,17416.0,1,0,1,4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
33.0,24.0,17416.0,0,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
31.0,24.0,17416.0,1,0,1,5,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
22.0,1.0,17416.0,0,0,1,1,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
49.0,49.0,17416.0,1,0,0,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
26.0,10.0,17416.0,1,0,0,1,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
52.0,44.0,17416.0,1,0,0,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
60.0,4.0,17416.0,0,0,1,5,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65.0,39.0,17416.0,0,0,1,3,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43.0,33.0,17416.0,1,0,1,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27.0,3.0,17416.0,0,0,1,5,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27.0,18.0,17416.0,0,0,0,3,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
38.0,19.0,17416.0,0,0,1,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
66.0,31.0,17416.0,0,0,1,2,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
45.0,44.0,17416.0,0,0,1,5,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
63.0,33.0,17416.0,0,0,1,3,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
36.0,5.0,17416.0,1,0,0,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
54.0,38.0,17416.0,1,0,1,2,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
68.0,8.0,17416.0,1,0,1,5,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
22.0,46.0,17416.0,1,0,1,5,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
61.0,6.0,17416.0,0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
45.0,17.0,17416.0,0,0,1,4,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
45.0,40.0,17416.0,1,0,0,1,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
66.0,12.0,17416.0,1,0,1,1,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
33.0,19.0,17416.0,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
43.0,19.0,17416.0,0,0,0,5,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
67.0,20.0,17416.0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
30.0,42.0,17416.0,1,0,0,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
23.0,23.0,17416.0,0,0,1,5,1,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
47.0,41.0,17416.0,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
45.0,47.0,17416.0,1,0,0,4,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
65.0,25.0,17416.0,0,0,1,2,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
49.0,0.0,17416.0,1,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
26.0,40.0,17416.0,0,0,0,2,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
64.0,25.0,17416.0,1,0,1,4,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
65.0,3.0,17416.0,0,0,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
32.0,31.0,17416.0,1,0,0,4,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
26.0,43.0,17416.0,0,0,0,5,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
38.0,33.0,17416.0,1,0,1,4,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
19.0,8.0,17416.0,1,0,1,3,1,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
25.0,34.0,17416.0,1,0,0,3,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
27.0,1.0,17416.0,0,0,0,4,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
33.0,24.0,17416.0,1,0,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
51.0,4.0,17416.0,0,0,1,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
53.0,12.0,17416.0,0,0,0,5,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
56.0,8.0,17416.0,0,0,0,3,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
53.0,0.0,17416.0,1,0,0,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
23.0,40.0,17416.0,1,0,0,3,1,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
46.0,44.0,17416.0,1,0,1,3,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
63.0,7.0,17416.0,0,0,0,3,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
40.0,41.0,17416.0,0,0,0,5,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
35.0,28.0,17416.0,0,0,0,5,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
42.0,4.0,17416.0,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
62.0,34.0,17416.0,0,0,1,3,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44.0,45.0,17416.0,0,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
46.0,15.0,17416.0,0,0,0,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
29.0,41.0,17416.0,0,0,1,3,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
61.0,21.0,17416.0,0,0,1,0,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
30.0,41.0,17416.0,0,0,0,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
28.0,12.0,17416.0,0,0,1,2,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
55.0,0.0,17416.0,1,0,0,5,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23.0,13.0,17416.0,0,0,1,3,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
55.0,8.0,17416.0,1,0,1,4,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
27.0,7.0,17416.0,0,0,0,4,1,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
24.0,29.0,17416.0,0,0,1,4,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
51.0,20.0,17416.0,0,0,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
20.0,20.0,17416.0,1,0,0,1,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31.0,36.0,17416.0,0,0,0,4,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
50.0,24.0,17416.0,0,0,1,2,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
66.0,7.0,17416.0,0,0,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
61.0,29.0,17416.0,0,0,1,4,1,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
27.0,31.0,17416.0,1,0,1,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
40.0,41.0,17416.0,0,0,0,4,1,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
56.0,15.0,17416.0,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
66.0,34.0,17416.0,0,0,0,4,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
57.0,49.0,17416.0,0,0,1,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
39.0,39.0,17416.0,1,0,0,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
38.0,14.0,17416.0,1,0,0,5,1,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
46.0,24.0,17416.0,0,0,0,5,1,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
48.0,39.0,17416.0,0,0,1,5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
30.0,45.0,17416.0,1,0,1,3,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
35.0,30.0,17416.0,0,0,0,4,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
46.0,19.0,17416.0,1,0,1,3,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
69.0,5.0,17416.0,1,0,0,3,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
43.0,48.0,17416.0,0,0,1,5,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
35.0,29.0,17416.0,1,0,1,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
56.0,45.0,17416.0,1,0,1,4,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
48.0,2.0,17416.0,1,0,0,2,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
63.0,43.0,17416.0,1,0,1,4,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
31.0,11.0,17416.0,0,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21.0,47.0,17416.0,0,0,1,4,1,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
67.0,16.0,17416.0,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
48.0,32.0,17416.0,0,0,0,3,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
51.0,9.0,17416.0,1,0,0,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19.0,19.0,17416.0,1,0,1,2,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
25.0,46.0,17416.0,0,0,0,4,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
60.0,49.0,17416.0,1,0,1,4,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
26.0,35.0,17416.0,1,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
