Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Possession de biens,Région,Type de contrat,Langue maternelle
26.0,11.0,35233.0,Femme,fondamental,marié,Urbain,Groupe 1,Terrain,L’Oriental,sans contrat,arab
56.0,36.0,22893.0,Femme,sans niveau,célibataire,Urbain,Groupe 4,Terrain,Laâyoune-Sakia El Hamra,CDD,amazigh
35.0,46.0,52780.0,Femme,secondaire,marié,Rural,Groupe 1,Voiture,Guelmim-Oued Noun,sans contrat,amazigh
21.0,29.0,23761.0,Homme,supérieur,marié,Urbain,Groupe 5,Logement,Dakhla-Oued Ed-Dahab,CDI,arab
42.0,2.0,11092.0,Homme,fondamental,marié,Urbain,Groupe 5,Terrain,Fès-Meknès,CDD,arab
31.0,2.0,22079.0,Femme,sans niveau,célibataire,Urbain,Groupe 2,Terrain,Drâa-Tafilalet,CDD,arab
67.0,34.0,13458.0,Homme,sans niveau,célibataire,Urbain,Groupe 6,Aucun,Casablanca-Settat,sans contrat,arab
26.0,5.0,43078.0,Homme,secondaire,veuf,Urbain,Groupe 1,Terrain,Fès-Meknès,sans contrat,arab
43.0,19.0,20236.0,Homme,secondaire,marié,Urbain,Groupe 4,Aucun,Souss-Massa,CDI,arab
19.0,18.0,6951.0,Homme,secondaire,marié,Rural,Groupe 6,Aucun,Rabat-Salé-Kénitra,CDI,arab
37.0,42.0,14923.0,Homme,sans niveau,marié,Rural,Groupe 5,Terrain,Souss-Massa,CDD,arab
45.0,19.0,15446.0,Femme,fondamental,célibataire,Urbain,Groupe 4,Aucun,Casablanca-Settat,CDI,arab
64.0,18.0,9865.0,Femme,secondaire,marié,Rural,Groupe 5,Aucun,Marrakech-Safi,CDI,arab
24.0,0.0,42877.0,Femme,supérieur,marié,Urbain,Groupe 1,Aucun,Béni Mellal-Khénifra,CDD,arab
61.0,44.0,49775.0,Homme,fondamental,célibataire,Urbain,Groupe 2,Logement,Dakhla-Oued Ed-Dahab,CDD,arab
25.0,14.0,15239.0,Homme,sans niveau,marié,Urbain,Groupe 5,Voiture,Guelmim-Oued Noun,CDD,amazigh
64.0,6.0,24399.0,Homme,supérieur,marié,Urbain,Groupe 4,Voiture,Laâyoune-Sakia El Hamra,CDD,arab
52.0,7.0,19457.0,Homme,sans niveau,célibataire,Urbain,Groupe 3,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab
31.0,35.0,38350.0,Femme,fondamental,marié,Rural,Groupe 1,Logement,Fès-Meknès,CDD,arab
34.0,35.0,21447.0,Homme,fondamental,veuf,Urbain,Groupe 4,Logement,Marrakech-Safi,CDI,arab
53.0,40.0,35375.0,Femme,sans niveau,divorcé,Urbain,Groupe 3,Voiture,Marrakech-Safi,CDD,arab
67.0,38.0,31884.0,Femme,fondamental,marié,Rural,Groupe 2,Logement,Guelmim-Oued Noun,sans contrat,arab
57.0,38.0,16807.0,Femme,secondaire,marié,Rural,Groupe 4,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab
21.0,35.0,27184.0,Femme,fondamental,marié,Rural,Groupe 2,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
19.0,22.0,6870.0,Homme,sans niveau,marié,Rural,Groupe 6,Aucun,Drâa-Tafilalet,sans contrat,arab
23.0,22.0,7945.0,Homme,secondaire,marié,Rural,Groupe 6,Terrain,Laâyoune-Sakia El Hamra,sans contrat,amazigh
59.0,44.0,43816.0,Femme,supérieur,marié,Rural,Groupe 2,Logement,Guelmim-Oued Noun,CDD,arab
21.0,0.0,29318.0,Homme,secondaire,célibataire,Urbain,Groupe 2,Aucun,Fès-Meknès,sans contrat,arab
46.0,23.0,13908.0,Homme,secondaire,célibataire,Rural,Groupe 4,Terrain,Casablanca-Settat,CDD,amazigh
35.0,24.0,10051.0,Homme,supérieur,marié,Rural,Groupe 6,Logement,Fès-Meknès,CDD,arab
43.0,0.0,15557.0,Femme,secondaire,célibataire,Urbain,Groupe 4,Logement,Souss-Massa,CDI,arab
61.0,40.0,21162.0,Femme,supérieur,marié,Rural,Groupe 4,Voiture,Marrakech-Safi,sans contrat,arab
51.0,4.0,5335.0,Femme,secondaire,veuf,Rural,Groupe 6,Terrain,Casablanca-Settat,CDD,arab
27.0,7.0,7227.0,Femme,fondamental,célibataire,Rural,Groupe 4,Voiture,Béni Mellal-Khénifra,CDI,arab
53.0,21.0,19613.0,Femme,secondaire,marié,Urbain,Groupe 5,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
31.0,14.0,20507.0,Femme,supérieur,célibataire,Urbain,Groupe 4,Terrain,Casablanca-Settat,CDI,arab
48.0,10.0,17244.0,Femme,secondaire,marié,Urbain,Groupe 5,Voiture,Fès-Meknès,CDD,arab
65.0,21.0,7936.0,Homme,secondaire,marié,Rural,Groupe 6,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
32.0,18.0,15338.0,Femme,sans niveau,célibataire,Urbain,Groupe 5,Voiture,L’Oriental,sans contrat,amazigh
25.0,8.0,6457.0,Homme,supérieur,marié,Rural,Groupe 6,Aucun,Dakhla-Oued Ed-Dahab,sans contrat,arab
31.0,39.0,14292.0,Femme,fondamental,marié,Rural,Groupe 5,Voiture,Fès-Meknès,CDD,arab
40.0,3.0,41555.0,Homme,sans niveau,marié,Urbain,Groupe 1,Voiture,Béni Mellal-Khénifra,CDD,arab
57.0,33.0,48924.0,Homme,secondaire,veuf,Rural,Groupe 1,Voiture,Drâa-Tafilalet,CDD,arab
38.0,24.0,23343.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Terrain,L’Oriental,CDI,arab
33.0,2.0,24574.0,Homme,sans niveau,marié,Urbain,Groupe 2,Terrain,Béni Mellal-Khénifra,CDI,arab
62.0,10.0,42670.0,Femme,sans niveau,marié,Urbain,Groupe 1,Logement,Drâa-Tafilalet,sans contrat,arab
35.0,25.0,18957.0,Femme,sans niveau,marié,Urbain,Groupe 4,Logement,Casablanca-Settat,CDI,amazigh
64.0,46.0,16013.0,Femme,sans niveau,marié,Urbain,Groupe 6,Logement,Tanger-Tétouan-Al Hoceïma,CDD,arab
41.0,1.0,4801.0,Femme,fondamental,marié,Rural,Groupe 5,Terrain,Rabat-Salé-Kénitra,CDI,amazigh
43.0,11.0,16219.0,Femme,secondaire,marié,Urbain,Groupe 5,Logement,Tanger-Tétouan-Al Hoceïma,CDI,arab
42.0,36.0,20362.0,Femme,fondamental,marié,Urbain,Groupe 4,Terrain,Drâa-Tafilalet,CDI,amazigh
62.0,38.0,40733.0,Femme,fondamental,marié,Urbain,Groupe 2,Aucun,Drâa-Tafilalet,sans contrat,arab
58.0,19.0,12179.0,Femme,secondaire,célibataire,Rural,Groupe 4,Aucun,Béni Mellal-Khénifra,CDD,arab
46.0,42.0,44989.0,Femme,sans niveau,marié,Urbain,Groupe 2,Aucun,Béni Mellal-Khénifra,CDD,amazigh
32.0,9.0,6296.0,Femme,fondamental,marié,Rural,Groupe 5,Terrain,Guelmim-Oued Noun,sans contrat,amazigh
62.0,30.0,13089.0,Femme,sans niveau,célibataire,Rural,Groupe 4,Aucun,Laâyoune-Sakia El Hamra,CDI,amazigh
18.0,3.0,3777.0,Homme,fondamental,marié,Rural,Groupe 6,Terrain,Drâa-Tafilalet,CDD,arab
42.0,24.0,38207.0,Homme,sans niveau,marié,Urbain,Groupe 2,Aucun,Fès-Meknès,sans contrat,arab
24.0,33.0,16591.0,Homme,supérieur,marié,Rural,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,arab
26.0,39.0,58916.0,Homme,sans niveau,marié,Urbain,Groupe 1,Terrain,Casablanca-Settat,sans contrat,arab
41.0,29.0,16304.0,Homme,fondamental,marié,Urbain,Groupe 5,Aucun,Fès-Meknès,CDI,arab
18.0,30.0,15769.0,Femme,sans niveau,divorcé,Urbain,Groupe 5,Aucun,Souss-Massa,sans contrat,arab
61.0,26.0,32277.0,Femme,fondamental,marié,Rural,Groupe 1,Terrain,Fès-Meknès,sans contrat,arab
25.0,33.0,9036.0,Homme,fondamental,marié,Rural,Groupe 6,Logement,Casablanca-Settat,CDD,arab
41.0,32.0,17416.0,Femme,sans niveau,marié,Rural,Groupe 1,Terrain,Drâa-Tafilalet,CDD,arab
28.0,23.0,19965.0,Homme,sans niveau,marié,Urbain,Groupe 4,Voiture,L’Oriental,CDI,arab
68.0,26.0,8700.0,Femme,sans niveau,marié,Rural,Groupe 6,Voiture,Dakhla-Oued Ed-Dahab,CDD,amazigh
34.0,22.0,54160.0,Femme,secondaire,marié,Urbain,Groupe 1,Logement,Marrakech-Safi,CDD,arab
25.0,13.0,12615.0,Homme,sans niveau,marié,Rural,Groupe 3,Voiture,Béni Mellal-Khénifra,CDI,amazigh
52.0,3.0,10818.0,Homme,secondaire,célibataire,Rural,Groupe 3,Aucun,Souss-Massa,CDI,arab
52.0,31.0,18459.0,Homme,fondamental,marié,Urbain,Groupe 5,Terrain,Béni Mellal-Khénifra,CDI,amazigh
50.0,11.0,17382.0,Femme,sans niveau,célibataire,Urbain,Groupe 4,Voiture,Guelmim-Oued Noun,sans contrat,arab
22.0,7.0,4789.0,Homme,sans niveau,célibataire,Rural,Groupe 6,Terrain,Béni Mellal-Khénifra,CDI,arab
59.0,34.0,18492.0,Femme,supérieur,marié,Urbain,Groupe 6,Terrain,Guelmim-Oued Noun,sans contrat,arab
56.0,48.0,33797.0,Femme,fondamental,marié,Urbain,Groupe 3,Terrain,Rabat-Salé-Kénitra,CDD,arab
58.0,24.0,12485.0,Femme,sans niveau,célibataire,Urbain,Groupe 6,Terrain,Béni Mellal-Khénifra,CDD,arab
45.0,21.0,19527.0,Femme,secondaire,marié,Urbain,Groupe 4,Aucun,Souss-Massa,CDI,arab
24.0,46.0,25523.0,Homme,secondaire,marié,Urbain,Groupe 5,Voiture,L’Oriental,CDD,amazigh
26.0,47.0,21380.0,Homme,sans niveau,marié,Urbain,Groupe 5,Terrain,Souss-Massa,CDD,arab
25.0,26.0,8208.0,Homme,fondamental,marié,Rural,Groupe 6,Voiture,Casablanca-Settat,sans contrat,arab
29.0,5.0,6848.0,Homme,sans niveau,marié,Rural,Groupe 5,Voiture,Souss-Massa,CDD,arab
51.0,23.0,11691.0,Femme,sans niveau,célibataire,Rural,Groupe 5,Voiture,Laâyoune-Sakia El Hamra,CDD,arab
50.0,12.0,15332.0,Homme,fondamental,marié,Urbain,Groupe 5,Voiture,Fès-Meknès,CDI,amazigh
65.0,34.0,48307.0,Homme,secondaire,célibataire,Urbain,Groupe 2,Aucun,Casablanca-Settat,CDI,arab
40.0,47.0,23122.0,Homme,fondamental,marié,Urbain,Groupe 5,Voiture,Drâa-Tafilalet,sans contrat,arab
41.0,13.0,12857.0,Homme,fondamental,marié,Urbain,Groupe 5,Aucun,Fès-Meknès,CDD,amazigh
54.0,8.0,6838.0,Femme,fondamental,marié,Rural,Groupe 5,Terrain,Béni Mellal-Khénifra,sans contrat,arab
52.0,3.0,36175.0,Femme,fondamental,marié,Urbain,Groupe 1,Logement,L’Oriental,sans contrat,arab
61.0,10.0,14515.0,Femme,sans niveau,marié,Urbain,Groupe 5,Voiture,Laâyoune-Sakia El Hamra,CDD,arab
57.0,35.0,17800.0,Femme,fondamental,marié,Urbain,Groupe 5,Aucun,Souss-Massa,CDI,arab
39.0,7.0,16443.0,Homme,sans niveau,marié,Urbain,Groupe 4,Voiture,Marrakech-Safi,CDD,arab
44.0,26.0,13552.0,Femme,secondaire,marié,Urbain,Groupe 6,Terrain,Guelmim-Oued Noun,CDI,arab
52.0,15.0,9454.0,Homme,sans niveau,marié,Rural,Groupe 5,Terrain,Drâa-Tafilalet,sans contrat,arab
18.0,31.0,48403.0,Homme,fondamental,marié,Urbain,Groupe 1,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
52.0,18.0,9980.0,Homme,fondamental,marié,Rural,Groupe 5,Logement,Casablanca-Settat,CDI,arab
54.0,6.0,48803.0,Homme,secondaire,divorcé,Urbain,Groupe 1,Aucun,Souss-Massa,CDD,arab
64.0,1.0,13289.0,Femme,secondaire,marié,Rural,Groupe 2,Aucun,Marrakech-Safi,CDD,arab
31.0,30.0,20826.0,Femme,sans niveau,marié,Urbain,Groupe 4,Voiture,Fès-Meknès,sans contrat,arab
20.0,9.0,21332.0,Homme,secondaire,veuf,Urbain,Groupe 3,Terrain,Laâyoune-Sakia El Hamra,CDD,arab
18.0,43.0,19498.0,Femme,sans niveau,marié,Urbain,Groupe 5,Terrain,Béni Mellal-Khénifra,CDD,amazigh
22.0,42.0,31843.0,Femme,sans niveau,marié,Urbain,Groupe 3,Logement,Souss-Massa,sans contrat,arab
43.0,34.0,30993.0,Homme,supérieur,marié,Urbain,Groupe 5,Voiture,Fès-Meknès,CDI,arab
31.0,0.0,8080.0,Homme,sans niveau,marié,Rural,Groupe 3,Voiture,Casablanca-Settat,CDD,arab
56.0,40.0,21933.0,Femme,sans niveau,marié,Urbain,Groupe 5,Logement,L’Oriental,CDD,arab
44.0,34.0,20631.0,Homme,sans niveau,célibataire,Urbain,Groupe 5,Logement,Béni Mellal-Khénifra,sans contrat,amazigh
26.0,39.0,10181.0,Femme,fondamental,veuf,Rural,Groupe 6,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,arab
32.0,7.0,59241.0,Homme,supérieur,marié,Urbain,Groupe 1,Voiture,Souss-Massa,CDD,arab
32.0,43.0,33911.0,Homme,sans niveau,célibataire,Urbain,Groupe 3,Logement,Casablanca-Settat,CDI,arab
43.0,31.0,44619.0,Homme,fondamental,marié,Urbain,Groupe 2,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
59.0,11.0,15188.0,Homme,fondamental,marié,Urbain,Groupe 5,Logement,Rabat-Salé-Kénitra,CDD,arab
30.0,34.0,20907.0,Femme,sans niveau,marié,Urbain,Groupe 4,Logement,Casablanca-Settat,sans contrat,arab
68.0,1.0,12114.0,Femme,fondamental,marié,Urbain,Groupe 4,Logement,L’Oriental,CDD,amazigh
49.0,2.0,34840.0,Femme,fondamental,divorcé,Urbain,Groupe 1,Logement,Drâa-Tafilalet,CDI,arab
56.0,24.0,17316.0,Femme,sans niveau,marié,Urbain,Groupe 5,Terrain,Rabat-Salé-Kénitra,CDI,arab
66.0,35.0,21190.0,Homme,secondaire,marié,Rural,Groupe 3,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
69.0,41.0,22383.0,Homme,sans niveau,marié,Urbain,Groupe 5,Logement,Laâyoune-Sakia El Hamra,CDI,arab
49.0,43.0,24052.0,Femme,sans niveau,marié,Urbain,Groupe 4,Terrain,Drâa-Tafilalet,CDI,amazigh
21.0,44.0,76662.0,Femme,supérieur,veuf,Urbain,Groupe 1,Logement,Guelmim-Oued Noun,CDI,arab
47.0,20.0,34637.0,Femme,secondaire,marié,Rural,Groupe 1,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab
54.0,4.0,11388.0,Femme,secondaire,marié,Rural,Groupe 3,Logement,Souss-Massa,sans contrat,arab
40.0,9.0,8947.0,Femme,fondamental,célibataire,Rural,Groupe 3,Aucun,Drâa-Tafilalet,CDI,amazigh
56.0,25.0,19083.0,Homme,fondamental,marié,Urbain,Groupe 5,Voiture,Dakhla-Oued Ed-Dahab,CDI,amazigh
62.0,4.0,8792.0,Femme,fondamental,célibataire,Rural,Groupe 3,Voiture,Béni Mellal-Khénifra,CDI,arab
32.0,0.0,9460.0,Femme,sans niveau,marié,Urbain,Groupe 5,Aucun,Laâyoune-Sakia El Hamra,CDD,arab
60.0,16.0,12379.0,Homme,secondaire,marié,Rural,Groupe 5,Voiture,L’Oriental,CDI,amazigh
46.0,13.0,11665.0,Homme,fondamental,marié,Rural,Groupe 3,Terrain,Marrakech-Safi,sans contrat,arab
53.0,21.0,34735.0,Femme,supérieur,veuf,Urbain,Groupe 3,Terrain,Rabat-Salé-Kénitra,CDD,arab
30.0,45.0,30105.0,Femme,fondamental,célibataire,Urbain,Groupe 3,Terrain,Guelmim-Oued Noun,CDI,arab
49.0,49.0,35004.0,Femme,sans niveau,marié,Urbain,Groupe 3,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
24.0,48.0,19554.0,Homme,fondamental,marié,Urbain,Groupe 5,Aucun,Béni Mellal-Khénifra,CDD,arab
68.0,10.0,7501.0,Femme,sans niveau,célibataire,Rural,Groupe 5,Terrain,Marrakech-Safi,sans contrat,arab
39.0,31.0,47038.0,Femme,secondaire,célibataire,Urbain,Groupe 2,Logement,Drâa-Tafilalet,CDD,arab
45.0,39.0,14009.0,Homme,fondamental,marié,Rural,Groupe 5,Terrain,Rabat-Salé-Kénitra,CDI,amazigh
19.0,35.0,53260.0,Homme,fondamental,marié,Urbain,Groupe 1,Terrain,Béni Mellal-Khénifra,CDI,arab
59.0,43.0,29525.0,Homme,supérieur,célibataire,Rural,Groupe 3,Terrain,Marrakech-Safi,CDI,amazigh
62.0,11.0,33865.0,Homme,supérieur,célibataire,Urbain,Groupe 3,Logement,Rabat-Salé-Kénitra,CDI,arab
23.0,15.0,33063.0,Femme,supérieur,marié,Rural,Groupe 1,Logement,Laâyoune-Sakia El Hamra,sans contrat,amazigh
45.0,0.0,6271.0,Homme,sans niveau,marié,Rural,Groupe 4,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab
45.0,35.0,44380.0,Homme,secondaire,marié,Rural,Groupe 1,Terrain,L’Oriental,CDI,amazigh
61.0,4.0,20853.0,Homme,supérieur,marié,Urbain,Groupe 5,Voiture,Marrakech-Safi,CDI,arab
61.0,2.0,10344.0,Femme,fondamental,marié,Urbain,Groupe 5,Terrain,Béni Mellal-Khénifra,sans contrat,arab
37.0,31.0,42401.0,Homme,sans niveau,marié,Urbain,Groupe 2,Terrain,Marrakech-Safi,sans contrat,amazigh
47.0,39.0,69474.0,Femme,secondaire,marié,Urbain,Groupe 1,Logement,L’Oriental,CDI,arab
28.0,15.0,51759.0,Homme,secondaire,marié,Urbain,Groupe 1,Logement,Marrakech-Safi,CDD,arab
45.0,32.0,18402.0,Femme,secondaire,marié,Rural,Groupe 3,Aucun,Marrakech-Safi,sans contrat,arab
42.0,19.0,8971.0,Femme,sans niveau,célibataire,Rural,Groupe 5,Aucun,Drâa-Tafilalet,CDD,arab
56.0,27.0,18852.0,Femme,sans niveau,célibataire,Urbain,Groupe 5,Logement,Laâyoune-Sakia El Hamra,sans contrat,arab
50.0,21.0,16799.0,Homme,fondamental,marié,Urbain,Groupe 5,Logement,Guelmim-Oued Noun,sans contrat,arab
18.0,46.0,20898.0,Femme,fondamental,marié,Urbain,Groupe 4,Aucun,Guelmim-Oued Noun,sans contrat,arab
44.0,3.0,7542.0,Homme,secondaire,célibataire,Rural,Groupe 5,Terrain,Souss-Massa,CDD,amazigh
69.0,40.0,15100.0,Homme,sans niveau,marié,Urbain,Groupe 6,Terrain,Guelmim-Oued Noun,CDD,arab
30.0,32.0,13307.0,Femme,sans niveau,marié,Urbain,Groupe 6,Voiture,Béni Mellal-Khénifra,sans contrat,amazigh
58.0,6.0,19163.0,Homme,fondamental,célibataire,Rural,Groupe 1,Aucun,Casablanca-Settat,CDI,arab
20.0,48.0,17416.0,Femme,sans niveau,marié,Rural,Groupe 4,Voiture,Drâa-Tafilalet,CDD,arab
56.0,5.0,14127.0,Homme,fondamental,marié,Urbain,Groupe 5,Voiture,Laâyoune-Sakia El Hamra,sans contrat,arab
23.0,24.0,9675.0,Femme,fondamental,marié,Urbain,Groupe 6,Aucun,Souss-Massa,CDD,amazigh
25.0,40.0,37664.0,Homme,secondaire,célibataire,Rural,Groupe 2,Voiture,Béni Mellal-Khénifra,sans contrat,arab
44.0,4.0,13996.0,Femme,secondaire,marié,Urbain,Groupe 5,Terrain,Rabat-Salé-Kénitra,sans contrat,arab
26.0,25.0,7698.0,Homme,sans niveau,marié,Rural,Groupe 6,Terrain,Dakhla-Oued Ed-Dahab,CDI,arab
54.0,9.0,14088.0,Homme,supérieur,marié,Rural,Groupe 4,Voiture,Rabat-Salé-Kénitra,sans contrat,amazigh
50.0,47.0,29461.0,Femme,secondaire,célibataire,Urbain,Groupe 4,Aucun,Casablanca-Settat,CDI,amazigh
68.0,4.0,13051.0,Homme,fondamental,marié,Rural,Groupe 2,Terrain,Dakhla-Oued Ed-Dahab,CDD,arab
59.0,27.0,23418.0,Homme,supérieur,marié,Rural,Groupe 3,Logement,Dakhla-Oued Ed-Dahab,CDD,arab
61.0,40.0,9719.0,Femme,sans niveau,célibataire,Rural,Groupe 6,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
41.0,9.0,9102.0,Femme,fondamental,marié,Urbain,Groupe 6,Voiture,L’Oriental,CDD,arab
32.0,35.0,25821.0,Femme,sans niveau,célibataire,Rural,Groupe 2,Aucun,Béni Mellal-Khénifra,sans contrat,arab
49.0,16.0,9860.0,Femme,fondamental,célibataire,Urbain,Groupe 6,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,arab
49.0,23.0,34405.0,Femme,fondamental,célibataire,Urbain,Groupe 2,Aucun,Béni Mellal-Khénifra,sans contrat,arab
41.0,48.0,11892.0,Homme,fondamental,célibataire,Rural,Groupe 6,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab
58.0,10.0,9149.0,Femme,sans niveau,marié,Rural,Groupe 4,Terrain,Béni Mellal-Khénifra,CDD,arab
69.0,2.0,13951.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Logement,L’Oriental,CDI,arab
66.0,38.0,44739.0,Homme,fondamental,marié,Urbain,Groupe 2,Terrain,Tanger-Tétouan-Al Hoceïma,CDI,arab
66.0,6.0,14087.0,Homme,sans niveau,célibataire,Urbain,Groupe 5,Logement,Guelmim-Oued Noun,CDD,arab
