Identifiant,Âge,Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Années d'expérience,Possession de biens,Région,Type de contrat,Langue maternelle,Revenu annuel (DH),Âge doublé,Revenu approximatif,Code aléatoire
20249,52,Homme,sans niveau,célibataire,Rural,Groupe 6,18,Voiture,Guelmim-Oued Noun,sans contrat,arab,7927.0,104,13000.0,Y456
17747,45,Femme,sans niveau,célibataire,Urbain,Groupe 5,46,Terrain,L’Oriental,CDD,arab,21398.0,90,35000.0,X123
14830,54,Homme,fondamental,veuf,Rural,Groupe 2,48,Aucun,L’Oriental,CDI,arab,35452.0,108,54000.0,X123
34507,40,Femme,secondaire,célibataire,Rural,Groupe 5,31,Voiture,Guelmim-Oued Noun,sans contrat,amazigh,14311.0,80,23000.0,Y456
25874,58,Homme,fondamental,marié,Urbain,Groupe 4,0,Aucun,L’Oriental,CDI,arab,12984.0,116,21000.0,X123
36582,33,Femme,secondaire,veuf,Rural,Groupe 6,2,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,amazigh,4204.0,66,7000.0,Z789
10727,60,Femme,secondaire,marié,Urbain,Groupe 4,46,Aucun,Fès-Meknès,CDD,arab,30278.0,120,44000.0,Y456
37171,40,Homme,sans niveau,célibataire,Urbain,Groupe 5,5,Aucun,Laâyoune-Sakia El Hamra,CDD,arab,12165.0,80,20000.0,Z789
37624,68,Femme,secondaire,marié,Urbain,Groupe 5,0,Voiture,Dakhla-Oued Ed-Dahab,sans contrat,arab,14445.0,136,23000.0,X123
10728,48,Homme,secondaire,marié,Urbain,Groupe 5,16,Aucun,Fès-Meknès,CDI,arab,17571.0,96,29000.0,Y456
26519,61,Femme,secondaire,marié,Urbain,Groupe 6,29,Terrain,Laâyoune-Sakia El Hamra,CDD,amazigh,14107.0,122,23000.0,W000
7701,47,Femme,sans niveau,célibataire,Urbain,Groupe 2,25,Voiture,Marrakech-Safi,sans contrat,arab,42452.0,94,64000.0,W000
18508,38,Femme,sans niveau,célibataire,Rural,Groupe 6,24,Terrain,Dakhla-Oued Ed-Dahab,CDI,amazigh,7426.0,76,12000.0,X123
32327,68,Femme,secondaire,célibataire,Urbain,Groupe 6,19,Aucun,Fès-Meknès,CDI,arab,11896.0,136,19000.0,Y456
37210,50,Homme,sans niveau,célibataire,Urbain,Groupe 2,0,Logement,Tanger-Tétouan-Al Hoceïma,CDI,arab,31146.0,100,46000.0,W000
19735,33,Homme,secondaire,marié,Rural,Groupe 5,43,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,arab,17555.0,66,29000.0,X123
19827,34,Femme,secondaire,marié,Urbain,Groupe 6,31,Aucun,Guelmim-Oued Noun,CDD,arab,13012.0,68,21000.0,Y456
7913,34,Femme,supérieur,marié,Urbain,Groupe 4,11,Terrain,Dakhla-Oued Ed-Dahab,sans contrat,amazigh,20150.0,68,33000.0,W000
31627,18,Homme,fondamental,marié,Urbain,Groupe 3,49,Aucun,Guelmim-Oued Noun,CDI,amazigh,31242.0,36,46000.0,X123
27740,54,Homme,secondaire,marié,Urbain,Groupe 2,22,Logement,Tanger-Tétouan-Al Hoceïma,CDD,arab,48914.0,108,75000.0,Z789
3051,61,Femme,sans niveau,marié,Urbain,Groupe 4,2,Logement,Casablanca-Settat,sans contrat,arab,13701.0,122,22000.0,Z789
6751,68,Homme,sans niveau,divorcé,Rural,Groupe 3,37,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,amazigh,22113.0,136,36000.0,W000
14051,27,Femme,fondamental,marié,Rural,Groupe 6,6,Aucun,Drâa-Tafilalet,CDD,arab,3774.0,54,6000.0,Y456
8716,37,Femme,sans niveau,célibataire,Urbain,Groupe 5,30,Aucun,Souss-Massa,sans contrat,arab,16311.0,74,26000.0,X123
5391,39,Homme,fondamental,célibataire,Rural,Groupe 2,20,Voiture,Guelmim-Oued Noun,CDD,amazigh,22249.0,78,36000.0,Y456
27071,51,Femme,supérieur,célibataire,Rural,Groupe 6,48,Logement,L’Oriental,sans contrat,amazigh,14267.0,102,23000.0,Y456
507,29,Femme,sans niveau,célibataire,Urbain,Groupe 5,39,Terrain,Rabat-Salé-Kénitra,sans contrat,arab,18593.0,58,30000.0,W000
34185,52,Homme,sans niveau,célibataire,Urbain,Groupe 5,39,Aucun,Guelmim-Oued Noun,sans contrat,amazigh,20515.0,104,33000.0,Y456
10789,41,Homme,sans niveau,marié,Urbain,Groupe 5,43,Voiture,Béni Mellal-Khénifra,sans contrat,arab,23504.0,82,38000.0,W000
2137,35,Homme,secondaire,célibataire,Urbain,Groupe 5,11,Aucun,L’Oriental,CDD,arab,15164.0,70,25000.0,Y456
19141,56,Homme,supérieur,célibataire,Urbain,Groupe 5,27,Terrain,Rabat-Salé-Kénitra,CDD,arab,28721.0,112,42000.0,X123
32458,52,Homme,fondamental,célibataire,Urbain,Groupe 6,46,Terrain,Laâyoune-Sakia El Hamra,sans contrat,arab,15609.0,104,25000.0,W000
35140,22,Femme,supérieur,marié,Rural,Groupe 4,15,Logement,Souss-Massa,sans contrat,amazigh,12425.0,44,20000.0,X123
9099,40,Homme,secondaire,marié,Urbain,Groupe 5,7,Logement,L’Oriental,CDI,arab,16295.0,80,26000.0,Z789
25313,58,Femme,secondaire,célibataire,Urbain,Groupe 1,4,Terrain,Souss-Massa,CDD,arab,46897.0,116,71000.0,Y456
8277,33,Homme,sans niveau,marié,Urbain,Groupe 2,47,Voiture,L’Oriental,sans contrat,arab,53809.0,66,83000.0,X123
20434,60,Homme,sans niveau,célibataire,Rural,Groupe 6,5,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab,5893.0,120,10000.0,W000
34795,18,Homme,fondamental,marié,Rural,Groupe 5,5,Logement,Souss-Massa,CDI,amazigh,6014.0,36,10000.0,Z789
11380,35,Femme,fondamental,marié,Urbain,Groupe 1,6,Aucun,Casablanca-Settat,CDD,amazigh,31617.0,70,46000.0,X123
4366,33,Homme,secondaire,célibataire,Rural,Groupe 5,15,Logement,Fès-Meknès,sans contrat,arab,10155.0,66,16000.0,Y456
8853,43,Homme,secondaire,célibataire,Urbain,Groupe 4,46,Logement,Drâa-Tafilalet,CDI,amazigh,32574.0,86,48000.0,W000
3753,50,Femme,sans niveau,marié,Rural,Groupe 5,29,Terrain,Casablanca-Settat,sans contrat,arab,11993.0,100,19000.0,Z789
37360,65,Homme,fondamental,marié,Urbain,Groupe 3,45,Aucun,Dakhla-Oued Ed-Dahab,sans contrat,arab,31656.0,130,47000.0,X123
33949,63,Femme,sans niveau,marié,Rural,Groupe 4,13,Terrain,Marrakech-Safi,sans contrat,arab,9347.0,126,15000.0,Z789
20071,23,Homme,sans niveau,célibataire,Rural,Groupe 1,9,Aucun,Béni Mellal-Khénifra,sans contrat,arab,19477.0,46,32000.0,W000
19751,18,Homme,secondaire,marié,Urbain,Groupe 5,23,Logement,Souss-Massa,CDI,arab,18962.0,36,31000.0,Z789
14866,63,Homme,secondaire,célibataire,Rural,Groupe 3,17,Aucun,Laâyoune-Sakia El Hamra,CDD,arab,14640.0,126,24000.0,Y456
10514,51,Femme,fondamental,marié,Urbain,Groupe 1,15,Voiture,L’Oriental,CDD,arab,45950.0,102,70000.0,X123
177,39,Femme,secondaire,célibataire,Urbain,Groupe 2,31,Logement,Drâa-Tafilalet,CDD,arab,47038.0,78,72000.0,Y456
14922,37,Femme,sans niveau,veuf,Rural,Groupe 6,9,Logement,Drâa-Tafilalet,CDI,arab,5211.0,74,8000.0,Y456
10510,41,Homme,sans niveau,célibataire,Urbain,Groupe 5,23,Terrain,L’Oriental,CDD,arab,16935.0,82,28000.0,Y456
9200,24,Femme,secondaire,marié,Rural,Groupe 4,38,Terrain,Guelmim-Oued Noun,CDI,arab,16211.0,48,26000.0,Z789
29072,64,Femme,fondamental,marié,Rural,Groupe 6,21,Voiture,Casablanca-Settat,CDI,amazigh,7404.0,128,12000.0,Z789
6691,49,Femme,fondamental,marié,Rural,Groupe 4,26,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab,11686.0,98,19000.0,X123
12789,68,Homme,fondamental,marié,Urbain,Groupe 3,31,Voiture,Souss-Massa,CDD,amazigh,30999.0,136,45000.0,Z789
35108,43,Homme,secondaire,marié,Urbain,Groupe 5,11,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab,16781.0,86,27000.0,Z789
28320,36,Femme,fondamental,marié,Rural,Groupe 5,39,Voiture,Laâyoune-Sakia El Hamra,sans contrat,arab,14483.0,72,24000.0,W000
18572,69,Femme,sans niveau,célibataire,Rural,Groupe 6,40,Aucun,Rabat-Salé-Kénitra,sans contrat,arab,9719.0,138,16000.0,W000
24547,66,Homme,sans niveau,célibataire,Rural,Groupe 1,32,Terrain,Marrakech-Safi,sans contrat,arab,39149.0,132,60000.0,W000
6628,53,Femme,sans niveau,marié,Rural,Groupe 4,7,Logement,Marrakech-Safi,CDI,arab,8539.0,106,14000.0,W000
30865,40,Femme,sans niveau,marié,Rural,Groupe 2,7,Logement,Souss-Massa,CDD,arab,14879.0,80,24000.0,Z789
37224,29,Homme,sans niveau,marié,Rural,Groupe 2,25,Aucun,Drâa-Tafilalet,CDD,arab,21995.0,58,36000.0,Y456
3711,66,Homme,secondaire,marié,Rural,Groupe 4,20,Logement,Fès-Meknès,CDD,amazigh,13696.0,132,22000.0,Y456
23428,67,Femme,fondamental,célibataire,Rural,Groupe 2,21,Voiture,L’Oriental,sans contrat,arab,22215.0,134,36000.0,W000
25728,19,Femme,fondamental,célibataire,Urbain,Groupe 5,12,Voiture,Dakhla-Oued Ed-Dahab,sans contrat,arab,12604.0,38,20000.0,W000
28881,49,Femme,secondaire,célibataire,Urbain,Groupe 3,15,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,arab,29557.0,98,43000.0,X123
27477,34,Femme,secondaire,veuf,Rural,Groupe 4,25,Aucun,Béni Mellal-Khénifra,CDI,arab,12441.0,68,20000.0,W000
39105,26,Homme,fondamental,célibataire,Rural,Groupe 1,37,Logement,Casablanca-Settat,CDI,arab,40854.0,52,63000.0,Y456
36459,30,Femme,secondaire,célibataire,Rural,Groupe 5,7,Aucun,Rabat-Salé-Kénitra,CDD,amazigh,6829.0,60,11000.0,Y456
36954,49,Femme,secondaire,célibataire,Urbain,Groupe 5,30,Voiture,L’Oriental,CDI,arab,22307.0,98,36000.0,Z789
36707,64,Femme,fondamental,marié,Rural,Groupe 4,27,Aucun,Béni Mellal-Khénifra,sans contrat,amazigh,11780.0,128,19000.0,Z789
7554,51,Femme,sans niveau,marié,Rural,Groupe 2,24,Aucun,Souss-Massa,CDI,arab,22247.0,102,36000.0,Y456
18569,30,Homme,fondamental,marié,Rural,Groupe 6,8,Aucun,Rabat-Salé-Kénitra,sans contrat,arab,4367.0,60,7000.0,Z789
14116,27,Femme,fondamental,marié,Urbain,Groupe 2,47,Voiture,Drâa-Tafilalet,CDI,arab,48593.0,54,74000.0,Z789
27552,49,Femme,fondamental,marié,Urbain,Groupe 4,7,Aucun,Souss-Massa,sans contrat,arab,12809.0,98,21000.0,Y456
22951,58,Homme,fondamental,marié,Rural,Groupe 5,21,Terrain,L’Oriental,CDI,arab,10436.0,116,17000.0,Y456
23118,52,Femme,fondamental,célibataire,Urbain,Groupe 2,30,Voiture,Rabat-Salé-Kénitra,CDI,amazigh,43349.0,104,66000.0,X123
8282,32,Homme,sans niveau,marié,Rural,Groupe 4,43,Logement,Drâa-Tafilalet,CDI,arab,17882.0,64,29000.0,Y456
36298,54,Homme,sans niveau,marié,Rural,Groupe 5,23,Aucun,Souss-Massa,sans contrat,arab,10809.0,108,18000.0,X123
34691,56,Femme,sans niveau,célibataire,Rural,Groupe 5,34,Terrain,L’Oriental,CDD,arab,13357.0,112,22000.0,Y456
37059,68,Homme,secondaire,marié,Urbain,Groupe 6,4,Logement,Rabat-Salé-Kénitra,CDD,amazigh,11533.0,136,19000.0,X123
14523,49,Femme,secondaire,marié,Urbain,Groupe 5,27,Aucun,Souss-Massa,sans contrat,arab,18751.0,98,30000.0,W000
6988,61,Homme,sans niveau,marié,Urbain,Groupe 2,20,Terrain,Dakhla-Oued Ed-Dahab,CDI,arab,38604.0,122,58000.0,Z789
32009,65,Homme,fondamental,marié,Rural,Groupe 3,30,Voiture,Rabat-Salé-Kénitra,CDI,arab,18734.0,130,30000.0,Z789
2085,66,Homme,secondaire,marié,Urbain,Groupe 6,24,Aucun,Souss-Massa,CDI,amazigh,13563.0,132,22000.0,W000
35702,31,Homme,fondamental,divorcé,Rural,Groupe 2,7,Terrain,Souss-Massa,CDD,arab,13354.0,62,22000.0,X123
1400,67,Homme,sans niveau,marié,Urbain,Groupe 2,43,Voiture,Laâyoune-Sakia El Hamra,CDD,amazigh,54208.0,134,83000.0,X123
28933,22,Homme,fondamental,marié,Rural,Groupe 4,18,Terrain,Laâyoune-Sakia El Hamra,sans contrat,arab,9922.0,44,16000.0,W000
30649,39,Homme,sans niveau,marié,Urbain,Groupe 5,24,Logement,L’Oriental,CDI,arab,17791.0,78,29000.0,Y456
28570,61,Homme,secondaire,marié,Urbain,Groupe 4,17,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab,19977.0,122,32000.0,Z789
9076,58,Homme,secondaire,marié,Urbain,Groupe 5,48,Voiture,Marrakech-Safi,CDI,arab,32314.0,116,48000.0,Z789
30953,68,Femme,fondamental,marié,Urbain,Groupe 4,36,Terrain,Rabat-Salé-Kénitra,CDI,arab,20613.0,136,33000.0,W000
9308,21,Homme,sans niveau,marié,Urbain,Groupe 1,2,Logement,Fès-Meknès,CDD,arab,36521.0,42,54000.0,X123
8732,29,Femme,fondamental,célibataire,Urbain,Groupe 3,38,Logement,Casablanca-Settat,CDI,arab,29026.0,58,42000.0,X123
29015,49,Femme,sans niveau,marié,Urbain,Groupe 2,41,Terrain,L’Oriental,sans contrat,arab,47128.0,98,72000.0,Z789
30656,21,Homme,fondamental,célibataire,Urbain,Groupe 5,27,Terrain,Fès-Meknès,sans contrat,arab,15780.0,42,26000.0,Z789
23946,40,Femme,sans niveau,célibataire,Urbain,Groupe 5,8,Logement,L’Oriental,CDI,arab,12984.0,80,21000.0,Z789
31854,29,Homme,fondamental,célibataire,Rural,Groupe 3,29,Aucun,Fès-Meknès,sans contrat,arab,15198.0,58,25000.0,W000
5670,67,Homme,supérieur,marié,Rural,Groupe 1,8,Terrain,Casablanca-Settat,CDD,arab,31865.0,134,49000.0,Z789
27602,69,Homme,sans niveau,célibataire,Urbain,Groupe 1,40,Terrain,Rabat-Salé-Kénitra,CDI,arab,63401.0,138,98000.0,Y456
22833,47,Femme,fondamental,marié,Urbain,Groupe 5,49,Terrain,Souss-Massa,CDI,arab,21124.0,94,34000.0,X123
10824,18,Homme,fondamental,marié,Rural,Groupe 5,23,Voiture,Marrakech-Safi,CDI,arab,10747.0,36,17000.0,Y456
8455,47,Homme,fondamental,marié,Rural,Groupe 5,39,Aucun,Casablanca-Settat,CDI,arab,13415.0,94,22000.0,Z789
15743,22,Femme,sans niveau,célibataire,Urbain,Groupe 5,28,Terrain,Guelmim-Oued Noun,sans contrat,amazigh,16104.0,44,26000.0,X123
14112,28,Femme,sans niveau,marié,Urbain,Groupe 3,21,Terrain,Fès-Meknès,CDD,amazigh,20744.0,56,34000.0,Y456
35937,47,Femme,fondamental,célibataire,Urbain,Groupe 3,46,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab,30818.0,94,45000.0,X123
36400,39,Homme,secondaire,marié,Urbain,Groupe 6,36,Logement,Laâyoune-Sakia El Hamra,CDD,arab,16469.0,78,27000.0,Z789
32991,32,Femme,secondaire,marié,Rural,Groupe 1,31,Aucun,Drâa-Tafilalet,CDI,arab,36542.0,64,56000.0,Z789
24721,52,Femme,secondaire,marié,Urbain,Groupe 2,31,Terrain,Souss-Massa,sans contrat,arab,47757.0,104,73000.0,Z789
4441,42,Femme,fondamental,célibataire,Urbain,Groupe 4,13,Logement,Guelmim-Oued Noun,CDD,arab,15101.0,84,25000.0,W000
19500,49,Homme,secondaire,marié,Rural,Groupe 5,20,Logement,Fès-Meknès,sans contrat,amazigh,12199.0,98,20000.0,X123
4399,28,Homme,supérieur,veuf,Rural,Groupe 6,24,Voiture,Souss-Massa,CDD,arab,10258.0,56,17000.0,Y456
24413,39,Homme,fondamental,marié,Urbain,Groupe 6,25,Voiture,Souss-Massa,sans contrat,amazigh,12559.0,78,20000.0,Y456
18615,27,Homme,fondamental,célibataire,Rural,Groupe 5,1,Aucun,Laâyoune-Sakia El Hamra,CDI,arab,4605.0,54,7000.0,Y456
20871,32,Homme,sans niveau,marié,Rural,Groupe 2,10,Terrain,Laâyoune-Sakia El Hamra,CDD,arab,16006.0,64,26000.0,Y456
30195,51,Homme,secondaire,veuf,Urbain,Groupe 2,41,Terrain,Guelmim-Oued Noun,CDI,arab,55348.0,102,85000.0,Z789
10251,33,Femme,supérieur,marié,Rural,Groupe 5,41,Voiture,Marrakech-Safi,sans contrat,amazigh,18000.0,66,29000.0,W000
8576,58,Homme,sans niveau,marié,Urbain,Groupe 4,31,Voiture,Marrakech-Safi,sans contrat,arab,25369.0,116,41000.0,W000
10202,26,Homme,fondamental,célibataire,Urbain,Groupe 6,38,Voiture,L’Oriental,CDD,arab,14292.0,52,23000.0,W000
17613,61,Homme,fondamental,marié,Urbain,Groupe 5,18,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab,14241.0,122,23000.0,Z789
2195,47,Femme,sans niveau,célibataire,Urbain,Groupe 1,28,Voiture,Béni Mellal-Khénifra,CDI,arab,57727.0,94,89000.0,Z789
31826,37,Femme,sans niveau,marié,Rural,Groupe 3,47,Logement,Drâa-Tafilalet,CDD,arab,23289.0,74,38000.0,Z789
32657,31,Femme,secondaire,marié,Urbain,Groupe 6,43,Terrain,Guelmim-Oued Noun,sans contrat,arab,15393.0,62,25000.0,X123
9546,26,Femme,sans niveau,marié,Rural,Groupe 6,47,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,arab,10401.0,52,17000.0,Z789
